,mol_name,mol_tag,smiles_str,cgsmiles_str,OCO,HD,CLF
0,water,W,O,{[#W]}.{#W=O},-8.23,-21.68,-14.15
1,butene,butene,CCC=C,{[#C4]}.{#C4=CCC=C},13.4,10.6,13.6
2,propene,propene,CC=C,{[#SC4]}.{#SC4=CC=C},8.4,7.5,10.6
3,ethene,ethene,C=C,{[#TC4]}.{#TC4=C=C},6.4,5.6,8.2
4,butyne,butyne,CCC#C,{[#C6]}.{#C6=CCC#C},10.1,5.4,11.4
5,propyne,propyne,CC#C,{[#SC6]}.{#SC6=CC#C},5.3,2.7,8.7
6,1-propanol,1-propanol,CCCO,{[#P1]}.{#P1=CCCO},-2.0,-11.1,-4.8
7,2-propanol,2-propanol,CC(C)O,{[#SN6]}.{#SN6=CC(C)O},-4.2,-11.1,-6.9
8,ethanol,ethanol,CCO,{[#SP1]}.{#SP1=CCO},-5.2,-13.1,-6.7
9,methanol,methanol,CO,{[#SP2r]}.{#SP2r=CO},-6.9,-14.8,-8.9
10,isobutanal,isobutanal,CC(C)C=O,{[#N4a]}.{#N4a=CC(C)C=O},4.3,-3.0,3.1
11,propanal,propanal,CCC=O,{[#N5a]}.{#N5a=CCC=O},2.2,-5.1,1.0
12,ethanal,ethanal,CC=O,{[#SN5a]}.{#SN5a=CC=O},-1.0,-6.6,-0.6
13,butane,butane,CCCC,{[#C1]}.{#C1=CCCC},18.9,17.2,17.2
14,2-methylpropane,2-methylpropane,CC(C)C,{[#C2]}.{#C2=CC(C)C},14.8,15.4,14.3
15,2-methyl-propane,2-methyl-propane,CC(C)C,{[#SC1]}.{#SC1=CC(C)C},14.2,15.3,14.9
16,propane,propane,CCC,{[#SC2]}.{#SC2=CCC},9.9,13.9,11.6
17,cyclopropane,cyclopropane,C1CC1,{[#SC3]}.{#SC3=C1CC1},9.2,11.0,10.9
18,ethane,ethane,CC,{[#TC2]}.{#TC2=CC},7.8,11.1,9.3
19,"N,N-dimethylformamide","N,N-dimethylformamide",CN(C)C=O,{[#P3a]}.{#P3a=CN(C)C=O},-3.5,-13.2,-5.1
20,propanamide,propanamide,CCC(N)=O,{[#P5]}.{#P5=CCC(N)=O},-9.1,-19.2,-10.9
21,acetamide,acetamide,CC(N)=O,{[#SP5]}.{#SP5=CC(N)=O},-11.8,-20.4,-12.7
